Video Title,Video ID,Publish Date,Views,Video Length,Transcript Found
Haunted by Columbine | Retro Report Documentary | The New York Times,AUSJ6rqEWUY,2015-09-29T22:00:00Z,11244426,12:21,Yes
I Got Addicted to Heroin in Front of 1.5 Million YouTube Subscribers,_FyHhC3Y8Fc,2020-01-21T20:00:09Z,11101392,14:37,Yes
What Happens to Used Tires? | Free Doc Bites,y0ah6QZpI3M,2021-03-05T14:00:30Z,10582585,14:49,Yes
are you okay? | Award-Winning Short Film,tJsGGsPNakw,2021-04-29T15:00:23Z,10024015,8:46,No
Let's Eat - Award Winning Animated Short Film,0MX_fJAhmEE,2021-09-26T18:45:10Z,9803436,8:31,No
This Sahara Railway Is One of the Most Extreme in the World | Short Film Showcase,jEo-ykjmHgg,2018-07-11T12:00:05Z,9764102,12:50,No
Film Theory: Spongebob and the Secret Under Goo Lagoon (Spongebob Squarepants),lbTT5l-J95E,2019-08-22T21:05:35Z,9669221,16:38,Yes
The Best Movie Parodies - Chappelle’s Show,0r3Ga2wZz90,2020-05-09T16:00:00Z,9637836,15:01,Yes
What Happens When PIRATES Attack MASSIVE US Navy Ships? | Somali Pirates Documentary,cZHuURTlDzU,2023-08-20T12:51:04Z,9513334,17:26,Yes
"What I Saw as a Fake Billionaire | Fakes, Frauds and Scammers",aKwkMZbeeGo,2022-05-09T15:00:01Z,9496308,11:53,No
Top 10 Movie Stripteases,5jGKnTCosRk,2013-08-06T14:51:44Z,9198549,8:38,Yes
"How ""Free Solo"" Filmed The First El Capitan Climb With No Ropes | Vanity Fair",dtnjRoDa71Y,2019-01-11T17:30:00Z,8864076,7:21,Yes
Film Theory: The Tragic World of Arthur Exposed! (PBS Arthur),ExwtgMtovyY,2020-10-08T19:05:11Z,8642117,14:53,Yes
"Sci-Fi Short Film “Hyperlight"" | DUST",Od49AfIS2-U,2018-06-23T14:00:02Z,8414212,16:30,Yes
How They Made Elf | The Holiday Movies That Made Us,rYPJYxEoPCg,2020-11-30T16:00:00Z,8078592,6:18,No
Moneyball: He Gets on Base (MOVIE SCENE) | With Captions,3MjxoaynCmk,2021-09-09T18:45:00Z,7850762,5:35,Yes
1 US Sub Sinks a Japanese Supercarrier - Sinking of Shinano Documentary,9Lgc_NtwApQ,2022-12-23T14:39:21Z,7775424,16:45,Yes
Film Screening - SNL,q5ZaBIKhCzI,2017-02-24T14:00:05Z,7760059,5:52,Yes
What Makes Hans Landa One Of The Most Terrifying Villains in Film History,gGPwqVVaWjk,2022-01-24T18:00:27Z,7720272,8:39,Yes
The Twins | CalArts 2022 Film | Michelle Tang,XCawr8qHbHE,2022-04-29T05:04:02Z,7686475,4:11,Yes
Germany After WW2 | A Defeated People | Documentary on Germany in the Immediate Aftermath of WW2,x8XG-nbM3BE,2014-07-24T22:00:34Z,7609171,19:06,Yes
Mr.Children 「Documentary film」 from “MINE”,Far8LLATzx4,2020-12-01T03:00:02Z,7186370,4:39,No
Identity SHORT FILM (Award Winning Inspirational Short),ikGVWEvUzNM,2012-05-24T20:06:56Z,6943686,5:19,No
"Nuclear blasts, preserved on film",ftCcMjXPpII,2019-03-03T15:39:09Z,6729097,6:00,Yes
Film Theory: Do Not Believe His Lies (The Mandela Catalogue),CeALigczlxI,2021-12-12T19:05:23Z,6704823,15:54,Yes
DARK SKIN Short film WOMEN EMPOWERMENT | Motivational Video | Hindi Short Movies | Content Ka Keeda,6elzSKCRuGg,2021-04-08T07:00:03Z,6519838,11:25,Yes
The 100 Most Iconic Movie Lines of All Time,QUjxsuGwTA8,2015-06-09T00:47:35Z,6480183,6:04,Yes
Why does Russia Own Kaliningrad/ Königsberg? (Short Animated Documentary),H5K4tq-9osc,2019-09-12T19:15:00Z,6398739,4:08,Yes
Clubbing in the Wild (David Attenborough nature documentary parody),q8zwIphm5r4,2018-05-23T10:50:05Z,6300892,4:21,Yes
India’s prostitution villages | DW Documentary,ew7-Z2xCMgE,2023-06-19T16:00:34Z,6268919,12:26,Yes
What They Won't Tell You In The Bulls Documentary,jaGGJLAGWeA,2020-04-29T23:39:12Z,6222089,14:27,No
The Adam Sandler Paradox,Ju6Yj5QvIjY,2023-05-19T15:00:27Z,5995100,19:34,Yes
Lab Puppies Growing from 1 Hour to 70 Days - A Documentary,ZyrQwNtGK-E,2022-06-23T20:49:17Z,5933175,14:18,Yes
Gone Fishin' | Animated short film by Rosa Niclas and Marcel Knüdeler,K6xMzj6uQGA,2016-04-14T12:00:02Z,5843656,9:45,Yes
"Nepal: Little Buddha, the return - Documentary",eDho1Y8MekE,2018-04-04T21:30:01Z,5842208,11:33,Yes
J. Cole - Applying Pressure: The Off-Season Documentary,135bv6GhD2M,2021-05-10T17:00:12Z,5790066,12:32,No
You Can Make a Netflix Style Doco About Literally Anything,9BUrNe3Vhtk,2021-08-24T14:12:45Z,5748015,4:23,Yes
The WW2 Tank Battle Caught On Film! (WW2 Documentary),o_Uhx1YInQU,2023-04-01T14:58:44Z,5540579,19:36,Yes
INCEST MURDERS: The Most HORRIFIC Story You've EVER Heard • EWU Story Time & Crime Documentary,Yz0ft0YhNHU,2021-04-23T18:11:13Z,5514661,16:14,Yes
Matt Walsh Revisits His What Is A Woman Interview With Dr. Forcier,zdDB8wU73NA,2022-06-03T18:00:11Z,5469091,19:56,Yes
Ignore It - Short Horror Film ( Award Winning ),hs3paMLb9Qg,2021-10-29T22:00:09Z,5468231,6:34,No
How The U.S. Ruined Bread,FovIyqov1uA,2022-07-13T12:00:07Z,5425851,16:00,Yes
Peep and the Paperplane | Animated short film by Christoph Englert,C0zL5_Hwusw,2020-04-18T11:00:14Z,5381261,11:38,Yes
Cinematic Documentary Background Music - by AShamaluevMusic,EcAX2cbsdRw,2018-04-30T05:00:00Z,5250696,4:02,No
The First Horror Movie Written Entirely By Bots,WZzbxNoMjGM,2021-10-06T17:00:00Z,5186344,4:23,No
THE FENCE | Award Winning Short Film,gDZ2oO9Ny1M,2018-06-06T18:04:10Z,5075797,19:42,Yes
Film Theory: The Dark Science of Rick and Morty's Portal Gun! ft. Neil deGrasse Tyson,FHcaQo4fmdM,2020-05-19T22:01:04Z,5003248,13:41,Yes
The Dark Side of Science: The Little Albert Experiment (Short Documentary ),T-O7iz0Jat8,2021-06-19T13:00:09Z,4979708,13:40,Yes
Film Theory: Is Spongebob a Mutant? Solving Bikini Bottom's Most Popular Theory!,57udq_EmydE,2021-07-03T17:05:14Z,4863572,14:34,Yes
FASTER: A Chapter From The Cure (Short film),RQDntmtmIbI,2021-01-15T19:18:17Z,4811819,11:12,Yes
Terrible Price of Victory -  Battle of Iwo Jima (WW2 Documentary),p_p53XwTs_E,2022-02-17T16:30:05Z,4722974,18:58,Yes
'I Am Paul Walker' Documentary Highlights | Paramount Network,h1jEmWpXZzw,2019-12-03T01:00:03Z,4500435,10:07,Yes
Ten Minute History - World War One and International Relations (Short Documentary),obzqMCu8vGs,2018-11-05T15:11:23Z,4456476,10:00,Yes
Ten Minute History - The Late British Empire (Short Documentary),uifyFUL22PA,2016-11-18T15:13:10Z,4449820,10:00,Yes
"THE CROODS: A NEW AGE | Wildest Wildlife Croodimals ""Documentary""",D8lompEXPyE,2020-11-10T16:59:46Z,4317532,4:35,Yes
Cameroon: Anatomy of a Killing - BBC Africa Eye documentary,XbnLkc6r3yc,2018-09-23T23:00:01Z,4260473,11:07,No
Ten Minute History - The Early British Empire (Short Documentary),fQktE-YKlJg,2016-09-26T13:27:30Z,4232506,9:59,Yes
The Gunfighter | A Short Film by Eric Kissack (narrated by Nick Offerman),cWs4WA--eKU,2016-10-28T12:14:37Z,4230880,8:50,Yes
This is Why Mark Cavendish is the GOAT Sprinter │ Short Documentary,HR3TWL3sGcc,2022-02-15T15:10:54Z,4208619,15:18,Yes
The Ship Sinking MS Estonia (Disaster Documentary),VslQpDCUsbQ,2021-12-10T19:00:10Z,4001379,15:13,Yes
Cuts & Transitions 101,OAH0MoAv2CI,2016-03-03T16:00:27Z,3971580,11:41,Yes
A History of Falls Into The Grand Canyon | A Short Documentary | Fascinating Horror,x1t0pzX6VzQ,2021-02-16T10:15:01Z,3939508,12:46,Yes
Hadzabe Hunter Full Documentary. Gatherer & Traditional Life Style (Episode 2),HhEfIdq7_zY,2022-12-05T10:23:43Z,3892776,14:16,Yes
Color Grading in Premiere Pro CC - Get Pro Film Look,RvFCnVRcT3Q,2019-10-15T15:00:05Z,3871156,16:53,Yes
Fall Of Constantinople 1453 - Ottoman Wars DOCUMENTARY,8W0OTGQEY8E,2018-02-04T14:00:00Z,3820875,12:02,Yes
He Spent a Year in 3906 | This is what Paul Amadeus Dienach saw,8HgLQGb907s,2022-02-18T15:00:08Z,3805519,18:37,Yes
"Film Theory: Saw, How A Dead Man Killed Jigsaw",_shya2aE75M,2022-06-26T17:05:33Z,3755554,13:09,Yes
How Hackers Stole $1.000.000.000 From Banks (Carbanak) Documentary,GSNopHdNnKE,2021-06-03T02:25:28Z,3750474,15:59,Yes
Ten Minute History - German Unification and Empire (Short Documentary),tq91I3TnWu4,2017-02-22T11:21:46Z,3640187,10:00,Yes
Why Does Britain Own Gibraltar? (Short Animated Documentary),LMTJW_eEYDs,2021-03-08T18:15:01Z,3619292,4:04,Yes
Why does Belgium Exist? (Short Animated Documentary),6eGEX_LTqhQ,2020-05-18T18:14:38Z,3582558,5:00,Yes
Ashoka the Great - Rise of the Mauryan Empire Documentary,Ed6UZtVTI64,2019-04-18T12:59:54Z,3535678,17:52,Yes
Horror Short Film “Childer” | ALTER,uRCK3umiKQQ,2019-06-06T16:00:08Z,3531461,17:01,Yes
Pangolins: The Most Trafficked Mammal You've Never Heard Of | National Geographic,DqC3ieJJlFM,2018-05-28T12:00:01Z,3486838,4:36,Yes
Morgan Wallen - 7 Summers (Short Film),pH8mu6-FvE0,2020-11-09T16:00:11Z,3434402,8:18,Yes
Ten Minute History - Westward Expansion and the American Civil War (Short Documentary),9v5pY9300MQ,2018-12-17T21:53:50Z,3369901,10:00,Yes
"Sci-Fi Short Film “Final Offer"" | DUST Original",rv8kOzRZK8g,2018-07-19T14:00:04Z,3324332,11:24,Yes
AWARD Winning Hindi Short Film - ZUNI (The Untold Truth of Every Family) Ft. Divya Dutta | BB Films,1NAX6ilB8xY,2022-05-06T13:00:02Z,3281519,11:02,Yes
Daily Life of Living under the Mount Everest; How is Everest Village Life Like? (full documentary),JNXKB_dq8iw,2023-06-29T07:28:27Z,3238160,17:34,Yes
Ten Minute History - The Fall of Rome (Short Documentary),EIkeRBP5nDg,2018-09-09T14:29:21Z,3183344,10:00,Yes
That Night in Abu Dhabi - Formula 1 Short film,Z3zUcAwOs1A,2022-04-11T16:14:46Z,3190530,14:26,Yes
Ten Minute History - Mussolini and Fascist Italy (Short Documentary),QOzezrUxAMk,2019-02-04T18:20:28Z,3169824,10:00,Yes
Ten Minute History - World War 2: Free and Vichy France (Short Documentary),5bqWm3DLcYk,2019-01-07T18:00:01Z,3158597,10:00,Yes
Ten Minute History - The Austro-Hungarian Empire (Short Documentary),745HeLp-0sA,2018-06-12T11:30:00Z,3125483,10:00,Yes
Ten Minute History - The Weimar Republic and Nazi Germany (Short Documentary),vO-_HXO7HwY,2016-10-25T15:30:47Z,3113087,10:00,Yes
Aloneness to Oneness - Best Life Changing Spiritual Documentary Film on Non-duality,9M56t0UoW5M,2021-09-16T10:30:02Z,3091524,19:29,Yes
The 2020 Beirut Explosion Disaster Documentary,NgQ7jh9mrWs,2023-02-21T16:19:09Z,3058832,13:49,Yes
The Alien Movie Saga Finally Explained,B2l2tWZdJII,2020-05-03T01:00:06Z,3044187,12:15,Yes
Ten Minute History - The Unification of Italy (Short Documentary),kjFscoiE8eI,2018-08-18T07:23:15Z,2983926,10:00,Yes
"CGI 3D Animated Short Film HD: ""Life is Great"" by Lightberg Studios | CGMeetup",1tEZR9WBLXU,2022-02-17T17:15:49Z,2939531,5:36,No
Deadly Moments - The Aftermath of Teutoburg Forest (9AD) DOCUMENTARY,3_Z2AnIpgOc,2021-04-09T19:06:10Z,2918958,14:56,Yes
Rape is Consensual: Inside Haryana's Rape Culture | Documentary by The Quint,Pgom8LRF8hQ,2018-04-07T05:22:26Z,2919178,11:50,No
Motivational Story in Hindi Short Film Never Give Up Failure Leads To Success | Content Ka Keeda,BzHpk4LT5s4,2021-09-23T07:00:06Z,2884457,12:40,Yes
'ABC forgets' documentary which ‘absolutely skewers the renewable energy industry’,_fQZfFy9cFs,2020-04-27T10:52:56Z,2871108,8:53,Yes
A Rare Look at the Secret Life of Orangutans | Short Film Showcase,0fts6x_EE_E,2018-07-02T12:00:01Z,2820627,17:25,Yes
"""India's Daughter"" documentary director flees India",VBVOdtuWuZs,2015-03-05T14:40:46Z,2792462,4:49,Yes
Kids Behind Bars: Prison camp for children | Free Doc Bites | Free Documentary,Gn86KSyp95s,2019-09-29T16:00:04Z,2762358,11:38,Yes
"Horror Short Film ""Bakemono"" | ALTER",LxNCdlcUmcg,2021-08-05T13:00:17Z,2752988,9:34,No
The Los Alfaques Disaster | A Short Documentary | Fascinating Horror,v2h4vw9cYP8,2020-12-01T10:15:03Z,2719295,10:06,Yes
Real Ghost of Tsushima - Mongol Invasion of Japan DOCUMENTARY,11Y_Q1w-d_E,2020-07-17T12:59:50Z,2720355,14:53,Yes
E52 A Bite at office---Ms Yeah's cooking documentary | Ms Yeah,gtT3XBpt47g,2018-03-23T09:52:05Z,2685740,8:26,No
Why Does Moldova Exist? (Short Animated Documentary),phiapMuyQ3w,2020-06-24T17:15:03Z,2664477,4:05,Yes
Ten Minute History - The Russian Revolution (Short Documentary),ZZ55ZvBe07U,2016-12-31T16:29:27Z,2637718,10:00,Yes
Why did Sweden and Norway Break Up? (Short Animated Documentary),A8SAZ8lI4m4,2021-11-15T18:15:00Z,2585144,4:05,Yes
We Found the Worst Car Movie Ever Made,rhL81MGXBRU,2022-06-20T12:00:29Z,2544560,15:08,Yes
Why Palpatine Is The Greatest Movie Villain Ever,LXsYcdXaa7I,2020-08-08T14:30:08Z,2487113,10:38,Yes
A growing concern: Teenage pregnancy in Brazil | DW Documentary,xr_nln2ZQw8,2023-07-24T16:00:49Z,2468072,12:26,Yes
Ten Minute History - The Spanish Civil War and Francisco Franco (Short Documentary),Yw-OxbtF1iY,2018-07-28T15:15:14Z,2433151,10:00,Yes
Why didn't Canada join the American Revolution? (Short Animated Documentary),QSBS9Zu5PE0,2019-08-15T18:30:00Z,2361792,4:16,Yes
Tom & Jerry The Movie - 10 Minute Preview - Warner Bros. UK,8bn7YaxlJFI,2021-03-29T13:45:11Z,2363890,10:07,No
JFK (4/7) Movie CLIP - A Meeting with  X (1991) HD,GSw9sjqYK_I,2012-10-07T02:48:10Z,2350811,4:37,Yes
Wiwek & Skrillex - Still In The Cage (Short Film),pjGNpT7CAeQ,2016-08-18T17:45:51Z,2317364,18:32,No
What Don't You Understand? - A Short Film about ADHD,DlFkfOqtgR8,2022-09-24T00:51:31Z,2324830,6:07,Yes
How EU sanctions against Russia are failing | DW Documentary,z7yofon22AM,2023-07-05T16:00:49Z,2308285,17:20,Yes
What did Kaiser Wilhelm do After His Abdication? (Short Animated Documentary),wyOXUMXslis,2019-11-03T18:00:05Z,2284760,4:07,Yes
Netflix and Chill | Short Horror Film,3dgejSjVnsU,2023-01-27T06:30:09Z,2223616,4:39,Yes
4K Ostrich the Flightless Bird - African Wildlife Documentary Film with Narration,GK1ll8e017k,2019-03-09T15:22:17Z,2217719,16:32,Yes
Why Does The Left Consider This Documentary So Dangerous?,o8dF259jZm4,2022-11-29T00:00:21Z,2208623,9:07,Yes
Ten Minute History - Peter the Great and the Russian Empire (Short Documentary),3tBNr2gjAA0,2019-01-21T18:00:00Z,2200099,10:00,Yes
What happened to Rhodesia? (Short Animated Documentary),apkDMJBtlr8,2019-11-08T18:30:01Z,2127023,4:21,Yes
The Spanish American War: Explained (Short Animated Documentary),CaOKfu7ZK7I,2019-10-17T17:32:35Z,2098500,4:20,Yes
Life Inside the World's Largest Container Ships Ever Created - History of Ships Documentary,q2Ih_z2laYw,2023-05-17T18:18:39Z,2064461,15:02,Yes
Ten Minute History - Charlemagne and the Carolingian Empire (Short Documentary),H2J_3RTKB1c,2018-08-04T18:06:30Z,2018266,10:00,Yes
Why is Cyprus Divided? (Short Animated Documentary),38NGVPw3UFw,2022-03-21T18:15:00Z,1983713,4:14,Yes
Horror Short Film “Slaughterbots” | ALTER,9fa9lVwHHqg,2019-01-17T17:00:01Z,1981009,8:03,No
J.P. Morgan: The Man Who Owned America,x1_a20ZDBlU,2023-06-24T13:31:34Z,1977971,18:54,Yes
Why Single-Origin Coffee Is So Expensive | So Expensive Food | Insider Business,Dmpnrtey3YU,2023-02-28T16:00:08Z,1946437,16:15,Yes
Cute Comedy Short Film - Little Big George | Pocket Films,sPupxtZ6bQQ,2015-04-01T11:59:43Z,1898529,19:34,Yes
Ruby Ridge Documentary: American Standoff | Retro Report | The New York Times,wncvHvUujX8,2014-10-28T15:54:53Z,1864649,12:58,Yes
Ten Minute History - The Thirty Years' War (Short Documentary),EBLVzdvp8qE,2018-09-30T16:27:19Z,1855882,10:00,Yes
PICCHU | Award-Winning Animated Short Film | Amazon Web Services,vKSaF8NvMiQ,2022-08-01T21:51:30Z,1858629,7:22,No
Joining the Foreign Legion,ytLwCnLyn50,2023-03-20T13:57:38Z,1806215,10:56,Yes
"Battle of Grunwald, 1410 ⚔️ The Downfall of the Teutonic Order ⚔️ DOCUMENTARY",Hgl77ZdyxvE,2022-05-13T13:45:55Z,1796426,18:46,Yes
The ART of MONEY LAUNDERING (Mini Documentary),i5ezTCiwwyg,2020-09-26T14:06:43Z,1786209,10:24,Yes
4K Exclusive Documentary on Karachi City | Discover Pakistan TV,15W4PLDYDfw,2022-06-30T09:35:46Z,1771487,13:05,No
The Daily Life of a Monk | Original Buddhist Documentary,tXjNT4ShksE,2020-05-18T00:04:31Z,1705101,16:09,No
FEMALE EMPOWERMENT SHORT FILM | Power of Women | Hindi Short Movies Content Ka Keeda,Xk9L9Ql-EeU,2022-03-20T07:00:12Z,1693176,12:49,No
POOR BOY who ended up creating Rolls Royce 🔥 | Documentary,E6wKJdufyos,2023-04-20T16:07:46Z,1662443,14:53,No
Tunnel (Award-Winning Short Film),XYLgwxbwEb8,2023-01-27T00:55:56Z,1649133,7:53,No
Top 10 Places to Visit in Iran - Travel Documentary,0v7cOe1FSUE,2021-12-10T11:15:01Z,1643046,19:35,Yes
TF2: Bots - A Documentary,3PRqmz3vcQQ,2015-12-05T20:19:37Z,1620349,11:38,Yes
Narcissistic Abuse: An Unspoken Reality (Short Documentary),rLCPDYt1wYk,2017-03-03T14:05:22Z,1586285,17:39,Yes
India's take on BBC's Modi documentary,XLnhxp1m1no,2023-01-25T18:27:22Z,1557148,5:29,Yes
The secrets of Hitler that very few people know || Urdu/Hindi Documentary,IjSpO3YC3Rg,2021-06-05T11:00:07Z,1536820,11:28,No
Finding the Führerbunker : Hitler's Last Days (WW2 Documentary),7yM1-A0VTi0,2023-02-08T20:02:37Z,1465055,19:31,Yes
He Was Paralyzed by One Punch : Charles Oliveira Documentary,DMUsfdibgCc,2022-05-04T18:29:56Z,1446519,18:16,Yes
Stoke-on-Dust | 'Monkey Dust' Documentary (2019),fVfVaiqhwIw,2019-01-09T18:00:21Z,1444989,14:28,Yes
Rangabati ||  Endless Journey Of A Song ||  Official  Full Length Documentary Film || HD Videos,K1t52q0_0es,2016-10-08T12:47:32Z,1432316,11:47,No
The Blind Side | Full Movie Preview | Warner Bros. Entertainment,MsDSq_kVzV8,2020-04-13T17:59:46Z,1415420,10:02,No
Evolution of the Indo-European Languages - Ancient Civilizations DOCUMENTARY,VpXgMdvLUXw,2022-07-09T12:59:52Z,1406590,18:08,Yes
Was Appeasement Justified? (Short Animated Documentary),Hzomi4RNtiE,2019-06-12T17:16:44Z,1405001,4:06,Yes
Documentary on High School in South Korea (part 1 of 2),z5GvkcjszLk,2011-08-05T00:02:04Z,1395230,10:28,No
How and why did Switzerland become Neutral? (Short animated documentary),suu8mp03F8A,2022-04-07T17:15:04Z,1397856,4:09,Yes
"MUSCAT, OMAN | TRAVEL DOCUMENTARY | OMAN SERIES PT 1",I0W_XKWzUnY,2022-03-27T11:00:12Z,1375762,9:05,Yes
What Makes Terence Fletcher One Of The Most Terrifying Villains In Film History,Y8GwUrZNAzE,2022-06-13T17:00:27Z,1367633,9:40,Yes
"how i FILM, EDIT & COLOR GRADE iPhone CINEMATIC MODE video!",Lf5SSJw3HGQ,2022-01-20T01:55:06Z,1360308,8:46,Yes
INSIDE THE HOME OF AN ORTHODOX JEWISH FAMILY - HANGING WITH HASIDICS II:  WELCOME TO THE FAMILY,T1311NIaY2k,2022-08-31T22:33:44Z,1350920,13:49,Yes
न्यू यॉर्क में गरीब: शहर और वहां जीने की कोशिश [Poor in New York] | DW Documentary हिन्दी,#NAME?,2023-01-27T13:00:00Z,1342252,12:27,No
Last Stand of Japanese Heavy Cruiser - Battle of the Malacca Strait Documentary,u2xUAHDTCkQ,2023-03-22T15:42:24Z,1301790,14:13,Yes
The Documentary,G1UhVGs6Rjo,2018-07-24T19:10:20Z,1273542,4:12,No
KUCH TOH GADBAD HAI | Hindi Comedy Short Film | SIT,iU5vbodePBY,2022-06-09T09:06:10Z,1274946,13:38,No
The Legacy of Christopher McCandless | A Short Documentary | Fascinating Horror,h34zjOkBHtY,2022-03-01T10:15:01Z,1273070,11:47,Yes
The Cold War Explained In 15 Minutes | Best Cold War Documentary,NF3u8Ju9aAg,2020-11-09T21:21:33Z,1257479,16:56,Yes
"PLATINUM Documentary: Mining, Science and History",NG2Y_GpNCds,2022-02-07T14:45:10Z,1233102,17:08,Yes
Kinabuhi - Award Winning Documentary Short Film,dCJg9PLxo5M,2015-08-11T16:16:10Z,1225055,14:20,No
