Video Title,Video ID,Publish Date,Views,Video Length,Transcript Found
My 6 Year Old Had A Rough Week At School 😭💔 #shorts #vlog #family #challenge,MBCm_xZi5Zc,2023-02-04T22:53:59Z,4130074,27,Yes
I SAW THE NORTHERN LIGHTS! Finland Vlog 4 #Shorts,VKP_RBVjSSw,2023-01-25T11:30:09Z,3605548,43,Yes
I CANT BELIEVE I FORGOT IT 😭🫢 #vlog #entrepreneur #coffeeshop #comeworkwithme #vegas #vegasfood,MMMPXdxlp_E,2023-04-19T01:40:02Z,253412,48,Yes
HOW DID THIS HAPPEN 🫢🏃‍♀️ #runner #running #runningmotivation #vlog #fitness #runningtips,8vaB-HKeYKw,2024-01-14T18:58:13Z,39808,1:00,Yes
I Planned My Wedding In 6 Weeks 👀✨🤍 #shorts #wedding #vlog,TomFi58G4Go,2022-12-26T22:27:30Z,5192999,42,Yes
#vlog #bts #thundermans,QqplCF1RzIg,2023-04-06T23:54:27Z,279229,14,Yes
My 5 Year Old Dyes Her Hair Rose Gold 💖👀 #shorts #vlog #hair,mJRAepCX8H0,2022-12-01T23:54:20Z,6234081,33,Yes
I Think My Boyfriend Is Proposing 💍👀🙈 #shorts #vlog #engagement,h_1R7Obasko,2022-10-28T23:48:13Z,7183764,40,Yes
Day 5. New hotel which is in a Zoo!! Full vlog is up now too #vlog,N3QVQHbNNYI,2023-06-20T03:24:06Z,425508,58,Yes
Day 4 in Sydney. Full vlog is up now too ❤️ #vlog,ir0B32n9wIo,2023-06-19T20:39:22Z,1236285,57,Yes
My 6 Year Old Wants To Impress Someone 🤔👀 #shorts #vlog #hair,CC2C5NHkCoM,2023-01-03T23:38:07Z,7076304,34,Yes
Sick Mom Morning Routine 🥴🤧 #shorts #vlog #vlogs #family #morningroutine,8FTFcEyVCxo,2023-02-10T01:00:30Z,4764083,59,Yes
Mean Girls Premiere #meangirls #familyvlog #vlog,vhh1LWcWdBY,2024-01-13T07:52:05Z,11261,33,Yes
taking care and of big sis 🥹🫶 #vlog #shorts | saraplustwins,CCYH5JLVWTU,2023-04-27T19:55:00Z,1388752,1:00,Yes
A day in the life of an MUA!! #shortsvlog  #vlog #neetujosh #mua,pK6HocFxDfs,2023-01-18T06:34:26Z,639823,59,Yes
What pregnancy ACTUALLY looks like 👀🤧 #pregnancy #firsttrimester #shorts #vlog #storytime,95rUc_bOoes,2023-04-04T22:45:14Z,10867238,7,Yes
A little day in my life 🫶🏼☺️ #minivlog #dayinthelife #vlog #vlogs #minivlogs #curlyhair #mom,6ZzMdzB-yow,2023-02-03T18:27:13Z,1856735,50,Yes
THIS NAIL POLISH IS MAGNETIC!?! #nailart #nails #vlog,FT5GDU3L-HE,2024-01-14T17:48:14Z,47842,50,Yes
Pov : you are night owl🦉🤎🪐 #feed #shorts #viral #study #vlog #studymotivation,eb9gaXOMwEs,2023-02-26T06:45:25Z,725262,22,Yes
Modeling in Japan vs. abroad #Vlog #shorts,l1eLPvvZqto,2023-04-08T01:33:07Z,3476103,1:00,Yes
Pranking My Mom Before Our Wedding 👀💍👰‍♀️ #shorts #prank #vlog,AUvGblW9GUw,2022-12-04T20:31:27Z,4436510,29,Yes
We’re in Venice and ran into Arnie!! #vlog,2undEt0hrW0,2023-05-15T07:49:34Z,1448230,56,Yes
Neenga dolphins🐬 ah pathingala saanu fam🥺❤️ | Goa 🏝vlog | #saanvikashree #saanufam #sha #shorts,CS2i0VrIWEc,2023-05-02T10:59:31Z,1256200,59,Yes
My Husband Does My Daughters Hair 👀😳🫶🏼 #shorts #vlog #hair  #family,tpTor7Lso30,2023-01-07T21:26:59Z,6368715,35,Yes
a day at AIIMS // exam version // mini vlog✨ #neetmotivation # #aiims #neet2023 #medicalcollege,RBuHPIdKQSk,2023-02-18T06:30:52Z,1677587,58,Yes
"Brushing “hair”😅, butter, babies & a snow storm on the way #vlog",_kNNueAtNCk,2022-11-22T05:25:30Z,2634143,57,Yes
spend friday with me! 💛 #aesthetic #vlog #productivity,bFUyX-LxjNU,2023-05-20T01:25:46Z,878592,19,Yes
minivlg Minivlg #assameese #minivlog #vlog #assamese #shortvideo #reels #funny,#NAME?,2024-01-13T14:22:28Z,46587,44,Yes
GOING TO SCHOOL AT 5 AM Vlog! #vlog #foryou #reel #school #morningroutine #morning,LTUVL4YU9Uo,2023-03-16T03:17:03Z,8344416,58,Yes
Day 1 family holiday Sydney ❤️ #family #vlog,VwH_UeskrnU,2023-06-16T12:00:59Z,2547573,58,Yes
Hope you all had the best day 🥰#sundayreset #sunday #routine #family #vlog #minivlog,F7zSmABq_RM,2023-01-30T01:56:30Z,2132279,50,Yes
Turning My 6 Year Olds Hair Into Bows 🎀👀✨ #shorts #vlog #hair #hairstyle,HMHbfuUFeoQ,2022-12-25T00:04:10Z,4732161,26,Yes
VLOG Trailer! #Shorts,p4-KBWTTbsM,2022-05-03T06:30:08Z,1334072,39,Yes
Giving My 6 Year Old Soccer Hair?? ⚽️🎀💇🏻‍♀️ #shorts #hair #vlog #family #storytime,XdvGaIWhmTg,2023-04-19T22:25:41Z,3907398,18,Yes
I’m scared 😢 #vlog,RwpKVXmqFXM,2023-06-06T08:41:39Z,1879835,59,Yes
My 6 Year Old Trying To Impress Someone @ SCHOOL?? 😳👀 #shorts #vlog #morningroutine #storytime,eaKYpr2eSmw,2023-03-13T23:37:53Z,13107396,23,Yes
Turning My 6 Year Olds Hair Into Pretzels 🧐🥨??? #shorts #vlog #hair #grwm,CZGbKKM086Q,2023-01-20T01:25:09Z,10118745,32,Yes
Date ready 😉                     @garylu_  #instagramreels #smile #vlog #mensfashion #fashion,W9aqwld4PLQ,2023-03-31T21:05:03Z,1059913,18,Yes
Japan Vlog #1 w/@NickDiGiovanni,G2aEg_ZAIh0,2023-04-26T15:51:23Z,2181665,1:00,Yes
My 6 Year Old BUYS Her Own Wardrobe 👀🛍️💖 #shorts #vlog #shopping,xcbfdXw2U-A,2023-03-07T23:53:09Z,7968452,29,Yes
Mini Vlog #13 Saturday Evening/Cauliflower 65 #shorts #diml #minivlog #trending #dailyroutine #yt,gWDGo0uxsos,2023-06-11T04:36:15Z,1400084,1:00,Yes
Sunday reset🥰 #minivlog #family #vlog #vacation #sundayreset #momlife #familyof5,ANprPcEA-Ok,2023-04-03T16:22:59Z,812113,59,Yes
Japan Vlog #6 w/ @NickDiGiovanni,BPcE8DaTNBs,2023-05-02T02:27:25Z,2343814,56,Yes
My 5 Year Olds Picture Retake Day 🥰📸 #picture #vlog #shorts,Z6kqS9rGccU,2022-10-11T21:04:25Z,23335968,52,Yes
Japan Vlog #2 w/@NickDiGiovanni,rvB-redxah8,2023-04-27T20:31:48Z,2819679,1:00,Yes
STUDY VLOG!! 📚📖 studying community medicine! MBBS🩺,YZvWMU6LiFk,2023-06-14T05:30:07Z,1052030,51,Yes
The BEST Vlog Camera (especially for travel),5FMB-wjX6yk,2023-03-03T02:05:34Z,446519,31,Yes
My Daughter Picks My Wedding Dress.. AGAIN 👀👰‍♀️ #shorts #vlog #wedding,90-VeV45VAk,2022-12-10T00:44:43Z,19103281,47,Yes
Why does everyone hate Planet Fitness? (vlog 1),8q6HUrKLk4A,2023-05-11T16:00:04Z,3005570,56,Yes
Pretending to be rich in Beverly Hills #vlog,f7itiXol6hw,2023-05-16T08:57:06Z,3229915,59,Yes
our daughter’s DREAM sweet 16 party 💖 #momanddaughter #shorts #sweet16 #vlog,CiEDxeHXV8o,2023-03-06T21:46:40Z,6548953,39,Yes
My Daughter Asked For A Frozen Hairstyle 👀🥶❄️ #shorts #hair #vlog,hGbXfFIab4g,2022-12-28T23:14:57Z,7484416,36,Yes
Roll through the day with #Cinnamoroll! #Sanrio #shorts #dayinthelife #vlog,4k91gF0VTg0,2023-03-23T20:45:35Z,1685427,13,Yes
Getting ready for our Basically Besties tour and cooking some lamb #vlog #cooking,ylH25Orlo1k,2023-04-04T09:15:15Z,640841,1:01,Yes
Japan Vlog #3 w/@NickDiGiovanni,FtyyhxjLc8M,2023-04-28T15:17:13Z,3252567,56,Yes
DADDY! instagram: saraplustwins for the 📸 🥹🫶 #shorts #vlog #airport,zmwhSsn5jXw,2023-02-05T16:04:28Z,2144753,1:00,Yes
"Legendary NAGARJUNA ""ANDHRA MEALS""🍛In Banglore😋*VLOG* #shorts",2A4ydb-kGG4,2022-09-13T12:39:03Z,5108905,51,Yes
I just bought a waterfront condo! #vlog #shorts,m_zsuie__7k,2022-11-21T17:12:56Z,1956802,40,Yes
Japan Vlog #9 w/ @NickDiGiovanni,UAFVMRgKsuc,2023-05-04T14:57:43Z,3133301,42,Yes
Dance on fire🔥💃🤟#youtube #trending #shorts #shortsvideo #viral #youtubeshorts #ytshorts #foryou,JqE-lNqve8o,2022-11-03T07:00:40Z,809412,1:01,Yes
Japan Vlog #8 w/ @NickDiGiovanni,haDbK-QSceY,2023-05-03T14:59:40Z,3320019,1:00,Yes
🫶🏼☕️ our morning before I start work #dailyvlog #vlog #dayinthelife #mom #vlogger #momvlog #vlogs,bNsdmhk9ugg,2023-06-09T00:53:06Z,112387,1:01,Yes
I Feel Like Im Pregnant 👀😳🤰 #shorts #pregnancy #vlog #family #reaction,B_qWxJnQ7ts,2023-03-28T23:14:39Z,12846684,26,Yes
GRAMMYS MINI VLOG! Merrick & Thanks Google Pixel for hosting me #Shorts #pixel7,Vl_eZN7n9Fk,2023-02-16T13:00:26Z,1085145,42,Yes
